id,palabra,categoria
1,fuego,naturaleza
2,lava,naturaleza
3,atardecer,naturaleza
4,amanecer,naturaleza
5,otoño,estaciones
6,verano,estaciones
7,primavera,estaciones
8,invierno,estaciones
9,sangre,anatomía
10,rubí,piedras
11,cereza,frutas
12,fresa,frutas
13,tomate,vegetales
14,manzana,frutas
15,naranja,frutas
16,zanahoria,vegetales
17,calabaza,vegetales
18,oro,metales
19,sol,astronomía
20,plátano,frutas
21,limón,frutas
22,girasol,flores
23,canario,animales
24,arena,naturaleza
25,desierto,paisaje
26,mostaza,comida
27,césped,naturaleza
28,lima,frutas
29,aguacate,frutas
30,oliva,frutas
31,bosque,paisaje
32,menta,plantas
33,esmeralda,piedras
34,militar,objetos
35,jade,piedras
36,eucalipto,plantas
37,turquesa,colores
38,océano,paisaje
39,cielo,naturaleza
40,zafiro,piedras
41,agua,elementos
42,piscina,lugares
43,hielo,elementos
44,cobalto,elementos
45,marino,paisaje
46,índigo,colores
47,violeta,flores
48,lavanda,plantas
49,berenjena,vegetales
50,uva,frutas
51,mora,frutas
52,vino,bebidas
53,amatista,piedras
54,orquídea,flores
55,chocolate,comida
56,café,bebidas
57,castaña,frutas
58,tierra,elementos
59,avellana,frutas
60,caramelo,dulces
61,miel,alimentos
62,ámbar,piedras
63,canela,especias
64,cobre,metales
65,arcilla,materiales
66,ladrillo,materiales
67,rosa,flores
68,coral,acuático
69,salmón,peces
70,amapola,flores
71,frambuesa,frutas
72,granate,colores
73,carmesí,colores
74,cereza,frutas
75,vino,bebidas
76,borgoña,colores
77,caoba,maderas
78,bronce,metales
79,terracota,materiales
80,marrón,colores
81,tronco,naturaleza
82,nogal,maderas
83,visón,animales
84,café,bebidas
85,cacao,alimentos
86,negro,colores
87,carbón,materiales
88,ceniza,elementos
89,plomo,metales
90,grafito,materiales
91,niebla,clima
92,humo,elementos
93,plata,metales
94,aluminio,metales
95,mercurio,elementos
96,perla,gemas
97,nube,clima
98,nieve,clima
99,marfil,materiales
100,leche,alimentos 